datetime,emotion,score
12:41:38,angry,0.4975
12:41:39,angry,0.4975
12:41:41,angry,0.4975
12:41:43,angry,0.4975
12:41:44,angry,0.4975
12:41:46,angry,0.4975
12:41:47,angry,0.4975
12:41:48,angry,0.4975
12:41:50,angry,0.4975
12:41:51,angry,0.4975
12:41:53,angry,0.4975
12:41:54,angry,0.4975
12:41:56,angry,0.4975
12:41:58,angry,0.4975
12:42:00,angry,0.4975
12:42:01,angry,0.4975
12:42:03,angry,0.4975
12:42:04,angry,0.4975
12:42:06,angry,0.4975
12:42:07,angry,0.4975
12:42:09,angry,0.4975
12:41:38,fear,0.33
12:41:39,fear,0.33
12:41:41,fear,0.33
12:41:43,fear,0.33
12:41:44,fear,0.33
12:41:46,fear,0.33
12:41:47,fear,0.33
12:41:48,fear,0.33
12:41:50,fear,0.33
12:41:51,fear,0.33
12:41:53,fear,0.33
12:41:54,fear,0.33
12:41:56,fear,0.33
12:41:58,fear,0.33
12:42:00,fear,0.33
12:42:01,fear,0.33
12:42:03,fear,0.33
12:42:04,fear,0.33
12:42:06,fear,0.33
12:42:07,fear,0.33
12:42:09,fear,0.33
12:27:43,happy,1.0
12:27:46,happy,1.0
12:27:49,happy,1.0
12:27:53,happy,1.0
12:41:15,happy,0.95
12:41:16,happy,0.95
12:41:17,happy,0.95
12:41:18,happy,0.95
12:41:19,happy,0.95
12:41:21,happy,0.95
12:41:22,happy,0.95
12:41:24,happy,0.95
12:41:38,happy,0.8627777777777778
12:41:39,happy,0.8627777777777778
12:41:41,happy,0.8627777777777778
12:41:43,happy,0.8627777777777778
12:41:44,happy,0.8627777777777778
12:41:46,happy,0.8627777777777778
12:41:47,happy,0.8627777777777778
12:41:48,happy,0.8627777777777778
12:41:50,happy,0.8627777777777778
12:41:51,happy,0.8627777777777778
12:41:53,happy,0.8627777777777778
12:41:54,happy,0.8627777777777778
12:41:56,happy,0.8627777777777778
12:41:58,happy,0.8627777777777778
12:42:00,happy,0.8627777777777778
12:42:01,happy,0.8627777777777778
12:42:03,happy,0.8627777777777778
12:42:04,happy,0.8627777777777778
12:42:06,happy,0.8627777777777778
12:42:07,happy,0.8627777777777778
12:42:09,happy,0.8627777777777778
12:33:43,neutral,0.57
12:33:45,neutral,0.57
12:33:47,neutral,0.57
12:33:49,neutral,0.57
12:33:50,neutral,0.57
12:33:53,neutral,0.57
12:34:01,neutral,0.57
12:41:38,neutral,0.6966666666666667
12:41:39,neutral,0.6966666666666667
12:41:41,neutral,0.6966666666666667
12:41:43,neutral,0.6966666666666667
12:41:44,neutral,0.6966666666666667
12:41:46,neutral,0.6966666666666667
12:41:47,neutral,0.6966666666666667
12:41:48,neutral,0.6966666666666667
12:41:50,neutral,0.6966666666666667
12:41:51,neutral,0.6966666666666667
12:41:53,neutral,0.6966666666666667
12:41:54,neutral,0.6966666666666667
12:41:56,neutral,0.6966666666666667
12:41:58,neutral,0.6966666666666667
12:42:00,neutral,0.6966666666666667
12:42:01,neutral,0.6966666666666667
12:42:03,neutral,0.6966666666666667
12:42:04,neutral,0.6966666666666667
12:42:06,neutral,0.6966666666666667
12:42:07,neutral,0.6966666666666667
12:42:09,neutral,0.6966666666666667
12:33:34,sad,0.525
12:33:36,sad,0.525
12:33:38,sad,0.525
12:33:40,sad,0.525
12:33:43,sad,0.56
12:33:45,sad,0.56
12:33:47,sad,0.56
12:33:49,sad,0.5549999999999999
12:33:50,sad,0.59
12:33:53,sad,0.59
12:41:26,sad,0.51
12:41:28,sad,0.6
12:41:29,sad,0.6
12:41:30,sad,0.6
12:41:32,sad,0.6
12:41:33,sad,0.6
12:41:34,sad,0.6
12:41:35,sad,0.6
12:41:36,sad,0.6
